Biomarker,Model_Type,Normality_Test,Shapiro_W,Shapiro_p,Normality_Violated,Outliers_Count,Outliers_Percent,VIF_Max,VIF_Mean,Multicollinearity_Flag,R_Squared,Adj_R_Squared,Breusch_Pagan_p,Heteroscedasticity_Flag,Durbin_Watson,Autocorrelation_Flag,Sample_Size,Missing_Count,Assumptions_Met
Estradiol,Mediator_Model,Shapiro-Wilk,0.943,0.012,Yes,3,6.3,1.65,1.32,No,0.287,0.261,0.023,Yes,2.12,No,48,0,Partial
Estradiol,Outcome_Model,Shapiro-Wilk,0.958,0.061,No,2,4.2,2.18,1.76,No,0.412,0.384,0.089,No,1.95,No,48,0,Yes
