Biomarker,Model_Type,Normality_Test,Shapiro_W,Shapiro_p,Normality_Violated,Outliers_Count,Outliers_Percent,VIF_Max,VIF_Mean,Multicollinearity_Flag,R_Squared,Adj_R_Squared,Breusch_Pagan_p,Heteroscedasticity_Flag,Durbin_Watson,Autocorrelation_Flag,Sample_Size,Missing_Count,Assumptions_Met
Cortisol,Mediator_Model,Shapiro-Wilk,0.967,0.142,No,1,2.1,1.54,1.28,No,0.345,0.321,0.156,No,2.05,No,48,1,Yes
Cortisol,Outcome_Model,Shapiro-Wilk,0.971,0.198,No,1,2.1,2.01,1.67,No,0.523,0.498,0.112,No,1.92,No,48,1,Yes
