Biomarker,Model_Type,Normality_Test,Shapiro_W,Shapiro_p,Normality_Violated,Outliers_Count,Outliers_Percent,VIF_Max,VIF_Mean,Multicollinearity_Flag,R_Squared,Adj_R_Squared,Breusch_Pagan_p,Heteroscedasticity_Flag,Durbin_Watson,Autocorrelation_Flag,Sample_Size,Missing_Count,Assumptions_Met
DHEA_S,Mediator_Model,Shapiro-Wilk,0.938,0.008,Yes,4,8.3,1.71,1.41,No,0.298,0.271,0.019,Yes,2.18,No,48,3,Partial
DHEA_S,Outcome_Model,Shapiro-Wilk,0.955,0.045,Yes,2,4.2,2.43,1.95,No,0.389,0.359,0.054,No,1.87,No,48,3,Partial
